	id	created_at	text	lang	hashtags	isRelevant	isRelevant_text
147	1460725402423361538	2021-11-16T21:44:09.000Z	b'tweeting this just for the hashtags #NoWayHome #SpiderManNoWayHome #SpiderMan #shangchi #MarvelStudios'	en	['NoWayHome', 'SpiderManNoWayHome', 'SpiderMan', 'shangchi', 'MarvelStudios']	True	True
148	1460725158457528323	2021-11-16T21:43:11.000Z	b'RT @rbbtholepod: Since #ShangChi is now out on Disney+, revisit the first episode of Navigating the Multiverse where @nicholasjobe and @Fam\\u2026'	en	['ShangChi']	True	True
149	1460724323317166086	2021-11-16T21:39:52.000Z	b'@Bosslogic @SimuLiu @shangchi @pimpinthemaking this is a sigh for u to watch the movie'	en	[]	True	True
150	1460724177728593923	2021-11-16T21:39:17.000Z	b'RT @KojoManuel: Come watch #Eternals and #ShangChi with us this Thursday. @y1079fm https://t.co/3jBKeOqDAP'	en	['Eternals', 'ShangChi']	True	True
151	1460722944049565700	2021-11-16T21:34:23.000Z	b'#shangchi is easily in my top 5 MCU movies of all time.'	en	['shangchi']	True	True
152	1460722600498376704	2021-11-16T21:33:01.000Z	b'@SimuLiu @sesamestreet Very cool, dude.  Very cool.  By the way, watched @shangchi twice after it made it to @disneyplus.'	en	[]	True	True
153	1460722410727084038	2021-11-16T21:32:16.000Z	b'@SimuLiu @shangchi you know damn well asian dont use this...  they just pretend to or not admit it...cuz its culturally unacceptable... outside of china'	en	[]	True	True
154	1460722071407763457	2021-11-16T21:30:55.000Z	"b""This week on #TheCommentaryBooth I'm joined by @mcclellandbuddy to review #ShangChi &amp; The Legend Of The Ten Rings\\n\\nWe also discuss: #Yellowstone, #BigMouth, #InsideJob, #ClarksonsFarm, #Swagger, &amp; #AEWFullGear\\n\\nRate, review &amp; subscribe to the #podcast at https://t.co/7zeOfNxPDh https://t.co/PHpKXQS58n"""	en	['TheCommentaryBooth', 'ShangChi', 'Yellowstone', 'BigMouth', 'InsideJob', 'ClarksonsFarm', 'Swagger', 'AEWFullGear', 'podcast']	True	True
155	1460721513443868678	2021-11-16T21:28:42.000Z	"b""Why in @shangchi are there just so many scenes where people are just stood with their mouths open. There's a way against weird demons going on 2 feet away. Concentrate #Marvel #ShangChi"""	en	['Marvel', 'ShangChi']	True	True
156	1460721507844468736	2021-11-16T21:28:41.000Z	b'RT @BoooooZahhhhhh: I believe #ShangChi ten rings once belonged to the #Eternals and the signal It gives is to the Celestials #MCUTheory'	en	['ShangChi', 'Eternals', 'MCUTheory']	True	True
157	1460721390265323525	2021-11-16T21:28:12.000Z	b'Watching #ShangChi \\U0001f60c\\n\\nInkem chestham time fass \\U0001f9a7\\n\\n#SpiderManNoWayHome'	en	['ShangChi', 'SpiderManNoWayHome']	True	True
158	1460721370967339010	2021-11-16T21:28:08.000Z	"b""Aunty Nan gave #Xialing her mom's dress \\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f\\U0001f97a\\U0001f97a\\U0001f97a\\U0001f97a\\n#ShangChi and the legend of #TheTenRings \\n@falachenfala #MengErZhang https://t.co/ditwW5thyU"""	en	['Xialing', 'ShangChi', 'TheTenRings', 'MengErZhang']	True	True
159	1460721242965569536	2021-11-16T21:27:37.000Z	b'The mid-credits scene of @shangchi is my happy place.'	en	[]	True	True
160	1460721155980017667	2021-11-16T21:27:17.000Z	b'RT @bestoftonyleung: Tony Leung for \\u7f8e\\u7d19 Art and Piece HK Issue 7.\\n\\n#tonyleung #tonyleungchiuwai #\\u6881\\u671d\\u5049 #\\u30c8\\u30cb\\u30fc\\u30ec\\u30aa\\u30f3 #\\uc591\\uc870\\uc704 #shangchi\\xa0 #shangchiandthe\\u2026'	en	['tonyleung', 'tonyleungchiuwai', '梁朝偉', 'トニーレオン', '양조위', 'shangchi']	True	True
161	1460720925452734467	2021-11-16T21:26:22.000Z	b'@flopcomplex I remember when ppl were hyping up shangchi bc they went for more Chinese style fight scenes and choreography but in the end they strapped on their bullet proof army suits and fought on a dark cliff. Fucking disappointment'	en	[]	True	True
162	1460720779130195971	2021-11-16T21:25:47.000Z	b'watching this amazing movie.. \\nChina ainee \\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f #DisneyPlus #Marvel #Shangchi https://t.co/HbWzeL5oLl'	en	['DisneyPlus', 'Marvel', 'Shangchi']	True	True
163	1460720737493430279	2021-11-16T21:25:37.000Z	b'I could listen to this for hours and still have goosebumps #ShangChi https://t.co/zfB2q5IBKA'	en	['ShangChi']	True	True
164	1460720198214987777	2021-11-16T21:23:28.000Z	"b""Honestly? I don't really think so. #ShangChi #MCU\\nhttps://t.co/wf7TMNDBFF"""	en	['ShangChi', 'MCU']	True	True
165	1460720077460971524	2021-11-16T21:22:59.000Z	"b""I just recently watched @shangchi anddd the fight scene between Shang-Chi's Mother v his Father was BEAUTIFULLY composed. As an avid Matrix fan, I could see the parallels of the camera movement with Bill Pope as the cinematographer!!"""	en	[]	True	True
166	1460719832383598595	2021-11-16T21:22:01.000Z	"b""RT @FXRodeo: This week, we'll finally unveil our #ShangChi and The Legend of The Ten Rings #BREAKDOWN! Stay tuned \\U0001f440 https://t.co/HFBqk3GUU2"""	en	['ShangChi', 'BREAKDOWN']	True	True
167	1460719662120030222	2021-11-16T21:21:20.000Z	"b""A new favorite movie of mine is #ShangChi love the mystical mixed with beautiful martial arts. Just like the films I grew up with. All the cast are so great in this. Can't wait for more #LegendOfTheTenRings #SimuLiu #MichelleYeoh #FalaChen  #Awkwafina #TonyLeung https://t.co/FIPcfE1uBl"""	en	['ShangChi', 'LegendOfTheTenRings', 'SimuLiu', 'MichelleYeoh', 'FalaChen', 'Awkwafina', 'TonyLeung']	True	True
168	1460719526404841476	2021-11-16T21:20:48.000Z	b'@shxvam right look at #shangchi'	en	['shangchi']	True	True
169	1460719139878846465	2021-11-16T21:19:16.000Z	b'@Craig_Thurlow #ShangChi It. Is. Awesome. https://t.co/08l8yQTpOc'	en	['ShangChi']	True	True
170	1460719010274705409	2021-11-16T21:18:45.000Z	b'I was dining with dear friends at a fine little Thai restaurant (Chiang Mai House) in Boise ID last night ahead of seeing @TheEternals. Said restaurant had @shangchi playing with English subtitles in the main dining area which was just too perfect. @SimuLiu'	en	[]	True	True
171	1460718433163751425	2021-11-16T21:16:27.000Z	b'#ShangChi resonates in a way a great adventure movie should. Exhilarating and captivating. Finally enjoyed the ride last night.'	en	['ShangChi']	True	True
172	1460718168540917763	2021-11-16T21:15:24.000Z	b'RT @shangchithink: S- \\n\\ntudying.                    hang-chi marathon\\n\\n#ShangChi https://t.co/K6PD7G8giA'	en	['ShangChi']	True	True
173	1460717653581078531	2021-11-16T21:13:22.000Z	b'RT @do0hwa: zuko and katara as wenwu and ying li\\n(At the back of my mind I couldn\\u2019t stop thinking that their fight styles were like fire an\\u2026'	en	[]	True	True
174	1460717287959322629	2021-11-16T21:11:54.000Z	b'Finally got to see @shangchi over the weekend. Loved it, lots of fun. Curious about the story behind this #Jerusalem shirt, though.\\n#shangchi #\\u05d9\\u05e8\\u05d5\\u05e9\\u05dc\\u05d9\\u05dd #SimuLiu #Aquafina #mcu #easteregg https://t.co/6bW86vAXqJ'	en	['Jerusalem', 'shangchi', 'ירושלים', 'SimuLiu', 'Aquafina', 'mcu', 'easteregg']	True	True
175	1460717279268818951	2021-11-16T21:11:52.000Z	b'New MARVEL BOOKS in stock this week!!! Swipe through and see if there\\u2019s anything that sparks your interest. \\n#fantasticfour #shangchi #kangtheconqueror #marvelcomics @ Nuclear Comics https://t.co/zkHKAnPBH8'	en	['fantasticfour', 'shangchi', 'kangtheconqueror', 'marvelcomics']	True	True
176	1460717017909059602	2021-11-16T21:10:50.000Z	b'RT @annieracheI: #Xialing #shangchi fancam edit #DisneyPlus shang chi disney xu xialing marvel mcu phase four https://t.co/gpJ0TCUMLX'	en	['Xialing', 'shangchi', 'DisneyPlus']	True	True
177	1460716868935766028	2021-11-16T21:10:15.000Z	"b""RT @Hala_Pinho: Saw #ShangChi finally and let me just say that it's my FAVORITE Marvel movie. \\n\\nThe story was captivating and the fight sce\\u2026"""	en	['ShangChi']	True	True
178	1460716749167333377	2021-11-16T21:09:46.000Z	b'@Bosslogic @wongrel @SimuLiu @shangchi It\\u2019s soooooo \\U0001f525\\U0001f525\\U0001f525\\U0001f525\\U0001f525\\U0001f525\\U0001f525\\U0001f525\\U0001f525'	en	[]	True	True
179	1460716619257331715	2021-11-16T21:09:15.000Z	b'@Bosslogic @wongrel @SimuLiu @shangchi Beautiful work, thanks for sharing it.'	en	[]	True	True
180	1460715699819593733	2021-11-16T21:05:36.000Z	b'Incredible shot \\U0001f525\\n#ShangChi https://t.co/oJufu2oz2T'	en	['ShangChi']	True	True
181	1460715625857228801	2021-11-16T21:05:18.000Z	b'And how about #shangchi \\n\\U0001f631\\U0001f631\\n\\nMagic + Martial Arts + Monsters\\n\\nThank you @MarvelStudios'	en	['shangchi']	True	True
182	1460715349440180234	2021-11-16T21:04:12.000Z	b'RT @CalebABorchers: If you really are bothered by Ridley Scott picking on Marvel movies, watch the @shangchi Assembled episode. Really cool\\u2026'	en	[]	True	True
183	1460714880621756420	2021-11-16T21:02:20.000Z	"b""RT @xuojeon52: The Xu Family: You can't sit with us \\n\\n#Wenwu \\n#Yingli \\U0001f343\\U0001f342\\n#Shangchi\\xa0\\n#Xialing \\n\\nhttps://t.co/U7HxB9OWPk"""	en	['Wenwu', 'Yingli', 'Shangchi', 'Xialing']	True	True
184	1460714767631499264	2021-11-16T21:01:54.000Z	b'RT @DominickRuocco: @nyknicks @SimuLiu @ronnychieng I love Simu Liu and he was amazing in #ShangChi  https://t.co/yYR15ompBO'	en	['ShangChi']	True	True
185	1460714200901246986	2021-11-16T20:59:38.000Z	b'If you really are bothered by Ridley Scott picking on Marvel movies, watch the @shangchi Assembled episode. Really cool to see Ben Kingsley gush about his MCU experience.'	en	[]	True	True
186	1460714122526531585	2021-11-16T20:59:20.000Z	b'Why is there a Liverpool scarf in #Shangchi'	en	['Shangchi']	True	True
187	1460713939810062341	2021-11-16T20:58:36.000Z	b'RT @evanescaa: #SHANGCHI; fancam. wen wu. xialing. shag chi. edit. fancam. marvel. https://t.co/YA7mhDJq1g'	en	['SHANGCHI']	True	True
188	1460713883438563344	2021-11-16T20:58:23.000Z	b'RT @MarvelStudios: The wait is over! Marvel Studios\\u2019 #ShangChi and The Legend of The Ten Rings is now streaming on @DisneyPlus! \\U0001f64c #DisneyPl\\u2026'	en	['ShangChi']	True	True
189	1460713842141503488	2021-11-16T20:58:13.000Z	b'RT @MarvelStudios: S H A N G - C H I has arrived \\U0001f44a Stream Marvel Studios\\u2019 #ShangChi and The Legend of The Ten Rings NOW on @DisneyPlus! #Di\\u2026'	en	['ShangChi']	True	True
